n02579557,pompano
n02594942,striped_drum
n02594942,Equetus_pulcher
n01439121,cyprinid
n01439121,cyprinid_fish
n02573249,tilefish
n02573249,Lopholatilus_chamaeleonticeps
n02544274,lancetfish
n02544274,lancet_fish
n02544274,wolffish
n02598878,white_croaker
n02598878,queenfish
n02598878,Seriphus_politus
n02654425,boxfish
n02654425,trunkfish
n02533545,Pacific_sardine
n02533545,Sardinops_caerulea
n02655523,spiny_puffer
n02564270,freshwater_bass
n02563182,freshwater_bream
n02563182,bream
n02592055,sheepshead
n02592055,Archosargus_probatocephalus
n02576223,carangid_fish
n02576223,carangid
n02549376,sargassum_fish
n02567334,blackmouth_bass
n02567334,Synagrops_bellus
n02540091,Rocky_Mountain_whitefish
n02540091,Prosopium_williamsonii
n02631041,marlin
n02651060,northern_sea_robin
n02651060,Prionotus_carolinus
n02590987,porgy
n02535163,blackfish
n02636854,mojarra
n02543565,lizardfish
n02543565,snakefish
n02543565,snake-fish
n02631475,black_marlin
n02631475,Makaira_mazara
n02631475,Makaira_marlina
n02532451,Pacific_herring
n02532451,Clupea_harengus_pallasii
n02557909,blue_pike
n02557909,blue_pickerel
n02557909,blue_pikeperch
n02557909,blue_walleye
n02557909,Strizostedion_vitreum_glaucum
n02538985,whitefish
n02661892,grey_flounder
n02661892,gray_flounder
n02661892,Etropus_rimosus
n02535537,Atlantic_salmon
n02535537,Salmo_salar
n02526425,elver
n02513248,rough_fish
n02637977,whiting
n01498989,eagle_ray
n02572763,conchfish
n02572763,Astropogon_stellatus
n02614978,gunnel
n02614978,bracketed_blenny
n01490360,dusky_shark
n01490360,Carcharhinus_obscurus
n01452798,dory
n02623445,scombroid
n02623445,scombroid_fish
n02603540,great_barracuda
n02603540,Sphyraena_barracuda
n02660208,halibut
n02660208,holibut
n02653786,filefish
n02535759,landlocked_salmon
n02535759,lake_salmon
n01492860,Florida_smoothhound
n01492860,Mustelus_norrisi
n02551668,saury
n02551668,billfish
n02551668,Scomberesox_saurus
n02566834,sea_bass
n02530052,whitebait
n02618513,sand_lance
n02618513,sand_launce
n02618513,sand_eel
n02618513,launce
n02524524,hake
n02537525,rainbow_trout
n02537525,Salmo_gairdneri
n02581482,mackerel_scad
n02581482,mackerel_shad
n02581482,Decapterus_macarellus
n02604954,spadefish
n02604954,angelfish
n02604954,Chaetodipterus_faber
n02589196,cottonwick
n02589196,Haemulon_malanurum
n02566489,white_perch
n02566489,silver_perch
n02566489,Morone_americana
n02571810,catalufa
n02571810,Priacanthus_arenatus
n02636170,tripletail
n01496331,electric_ray
n01496331,crampfish
n01496331,numbfish
n01496331,torpedo
n01450950,reef_squirrelfish
n01450950,Holocentrus_coruscus
n02653145,triggerfish
n02606052,rock_beauty
n02606052,Holocanthus_tricolor
n02609617,razor_fish
n02609617,razor-fish
n02549989,needlefish
n02549989,gar
n02549989,billfish
n02596252,maigre
n02596252,maiger
n02596252,Sciaena_aquila
n02630739,billfish
n02614482,pikeblenny
n02548884,oyster_fish
n02548884,oyster-fish
n02548884,oysterfish
n01480516,cartilaginous_fish
n01480516,chondrichthian
n02619165,goby
n02619165,gudgeon
n02660091,American_plaice
n02660091,Hippoglossoides_platessoides
n02516776,ceratodus
n02639605,paddlefish
n02639605,duckbill
n02639605,Polyodon_spathula
n02663485,tonguefish
n02663485,tongue-fish
n02525382,cusk
n02525382,torsk
n02525382,Brosme_brosme
n02512053,fish
n02524202,pollack
n02524202,pollock
n02524202,Pollachius_pollachius
n02548247,goosefish
n02548247,angler
n02548247,anglerfish
n02548247,angler_fish
n02548247,monkfish
n02548247,lotte
n02548247,allmouth
n02548247,Lophius_Americanus
n01446760,killifish
n02621908,gempylid
n01497738,guitarfish
n02631628,striped_marlin
n02631628,Makaira_mitsukurii
n02596381,croaker
n01439808,domestic_carp
n01439808,Cyprinus_carpio
n02602760,jacksmelt
n02602760,Atherinopsis_californiensis
n02598252,silver_whiting
n02598252,Menticirrhus_littoralis
n02633677,palometa
n02633677,California_pompano
n02633677,Palometa_simillima
n02566665,yellow_bass
n02566665,Morone_interrupta
n02662993,brill
n02662993,Scophthalmus_rhombus
n02622249,snake_mackerel
n02622249,Gempylus_serpens
n02630281,sailfish
n02574910,remora
n02574910,suckerfish
n02574910,sucking_fish
n02563792,bluegill
n02563792,Lepomis_macrochirus
n01489709,sandbar_shark
n01489709,Carcharhinus_plumbeus
n02613181,blenny
n02613181,combtooth_blenny
n02597818,king_whiting
n02597818,Menticirrhus_americanus
n02627532,yellowfin
n02627532,yellowfin_tuna
n02627532,Thunnus_albacares
n02559383,pearlfish
n02559383,pearl-fish
n02571652,bigeye
n02552171,spiny-finned_fish
n02552171,acanthopterygian
n02649218,painted_greenling
n02649218,convict_fish
n02649218,convictfish
n02649218,Oxylebius_pictus
n02575590,whale_sucker
n02575590,whalesucker
n02575590,Remilegia_australis
n02595339,silver_perch
n02595339,mademoiselle
n02595339,Bairdiella_chrysoura
n02583567,characin
n02583567,characin_fish
n02583567,characid
n01447139,mummichog
n01447139,Fundulus_heteroclitus
n02655020,puffer
n02655020,pufferfish
n02655020,blowfish
n02655020,globefish
n02603317,barracuda
n02586238,bolti
n02586238,Tilapia_nilotica
n01500476,Atlantic_manta
n01500476,Manta_birostris
n01441910,common_shiner
n01441910,silversides
n01441910,Notropis_cornutus
n01490670,lemon_shark
n01490670,Negaprion_brevirostris
n02587877,yellowtail
n02587877,yellowtail_snapper
n02587877,Ocyurus_chrysurus
n02635154,barrelfish
n02635154,black_rudderfish
n02635154,Hyperglyphe_perciformis
n02607072,anemone_fish
n01453087,John_Dory
n01453087,Zeus_faber
n02513939,spawner
n02569631,rock_hind
n02569631,Epinephelus_adscensionis
n02663849,sole
n02546627,dealfish
n02546627,Trachipterus_arcticus
n02587300,grey_snapper
n02587300,gray_snapper
n02587300,mangrove_snapper
n02587300,Lutjanus_griseus
n02657368,flatfish
n02518324,European_catfish
n02518324,sheatfish
n02518324,Silurus_glanis
n02648313,alligatorfish
n02648313,Aspidophoroides_monopterygius
n01442710,rudd
n01442710,Scardinius_erythrophthalmus
n02624987,chub_mackerel
n02624987,tinker
n02624987,Scomber_japonicus
n02660519,Atlantic_halibut
n02660519,Hippoglossus_hippoglossus
n02593679,scup
n02593679,southern_porgy
n02593679,southern_scup
n02593679,Stenotomus_aculeatus
n02556846,perch
n02621577,doctorfish
n02621577,doctor-fish
n02621577,Acanthurus_chirurgus
n02644360,copper_rockfish
n02644360,Sebastodes_caurinus
n02581957,dolphinfish
n02581957,dolphin
n02581957,mahimahi
n02596720,Atlantic_croaker
n02596720,Micropogonias_undulatus
n02602405,silversides
n02602405,silverside
n01445429,buffalo_fish
n01445429,buffalofish
n02607862,wrasse
n02594552,drum
n02594552,drumfish
n01485479,basking_shark
n01485479,Cetorhinus_maximus
n01491874,dogfish
n02627037,albacore
n02627037,long-fin_tunny
n02627037,Thunnus_alalunga
n02520810,sea_catfish
n01501641,grey_skate
n01501641,gray_skate
n01501641,Raja_batis
n02639087,bowfin
n02639087,grindle
n02639087,dogfish
n02639087,Amia_calva
n02648035,pogge
n02648035,armed_bullhead
n02648035,Agonus_cataphractus
n02524928,ling
n02642107,scorpaenoid
n02642107,scorpaenoid_fish
n02624167,mackerel
n02563079,white_crappie
n02563079,Pomoxis_annularis
n02587618,schoolmaster
n02587618,Lutjanus_apodus
n01457852,trumpetfish
n01457852,Aulostomus_maculatus
n01444922,sucker
n02556373,climbing_perch
n02556373,Anabas_testudineus
n02556373,A._testudineus
n02601921,white_mullet
n02601921,Mugil_curema
n01453475,boarfish
n01453475,Capros_aper
n01441425,shiner
n02529772,clupeid_fish
n02529772,clupeid
n02618827,dragonet
n01454856,stickleback
n01454856,prickleback
n02531625,menhaden
n02531625,Brevoortia_tyrannis
n02646241,grubby
n02646241,Myxocephalus_aenaeus
n02661618,summer_flounder
n02661618,Paralichthys_dentatus
n02645691,miller's-thumb
n02577041,yellow_jack
n02577041,Caranx_bartholomaei
n01448291,swordtail
n01448291,helleri
n01448291,topminnow
n01448291,Xyphophorus_helleri
n01444339,electric_eel
n01444339,Electrophorus_electric
n02658531,plaice
n02658531,Pleuronectes_platessa
n01495493,angel_shark
n01495493,angelfish
n01495493,Squatina_squatina
n01495493,monkfish
n02600503,red_goatfish
n02600503,Mullus_auratus
n02597367,whiting
n02631330,blue_marlin
n02631330,Makaira_nigricans
n02569905,creole-fish
n02569905,Paranthias_furcifer
n02619861,sleeper
n02619861,sleeper_goby
n02561108,pike
n01488918,requiem_shark
n02512830,game_fish
n02512830,sport_fish
n01447331,striped_killifish
n01447331,mayfish
n01447331,may_fish
n01447331,Fundulus_majalis
n01484850,great_white_shark
n01484850,white_shark
n01484850,man-eater
n01484850,man-eating_shark
n01484850,Carcharodon_carcharias
n01445593,black_buffalo
n01445593,Ictiobus_niger
n02515713,coelacanth
n02515713,Latimeria_chalumnae
n02610980,threadfin
n02662397,horned_whiff
n02662397,Citharichthys_cornutus
n02656670,ocean_sunfish
n02656670,sunfish
n02656670,mola
n02656670,headfish
n02625851,king_mackerel
n02625851,cavalla
n02625851,cero
n02625851,Scomberomorus_cavalla
n02589062,tomtate
n02589062,Haemulon_aurolineatum
n02620956,worm_fish
n02519686,channel_catfish
n02519686,channel_cat
n02519686,Ictalurus_punctatus
n01494757,smooth_hammerhead
n01494757,Sphyrna_zygaena
n02635580,clingfish
n02557591,pike-perch
n02557591,pike_perch
n02633422,dollarfish
n02633422,Poronotus_triacanthus
n02578771,amberjack
n02578771,amberfish
n02540791,rainbow_smelt
n02540791,Osmerus_mordax
n01456454,deepwater_pipefish
n01456454,Cosmocampus_profundus
n02561381,northern_pike
n02561381,Esox_lucius
n02609302,bluehead
n02609302,Thalassoma_bifasciatum
n02559862,robalo
n01429172,Ostariophysi
n01429172,order_Ostariophysi
n01488038,whale_shark
n01488038,Rhincodon_typus
n02565573,bass
n02522637,codling
n02652668,plectognath
n02652668,plectognath_fish
n02604157,sea_chub
n01500091,manta
n01500091,manta_ray
n01500091,devilfish
n02646892,lumpsucker
n02513355,groundfish
n02513355,bottom_fish
n02577952,threadfish
n02577952,thread-fish
n02577952,Alectis_ciliaris
n02565072,smallmouth
n02565072,smallmouth_bass
n02565072,smallmouthed_bass
n02565072,smallmouth_black_bass
n02565072,smallmouthed_black_bass
n02565072,Micropterus_dolomieu
n01500854,devil_ray
n01500854,Mobula_hypostoma
n02557182,yellow_perch
n02557182,Perca_flavescens
n02541257,capelin
n02541257,capelan
n02541257,caplin
n02578454,lookdown
n02578454,lookdown_fish
n02578454,Selene_vomer
n02589623,porkfish
n02589623,pork-fish
n02589623,Anisotremus_virginicus
n02634858,squaretail
n02517938,silurid
n02517938,silurid_fish
n01493541,spiny_dogfish
n02525703,grenadier
n02525703,rattail
n02525703,rattail_fish
n02524659,silver_hake
n02524659,Merluccius_bilinearis
n02524659,whiting
n01316579,bottom-feeder
n01316579,bottom-dweller
n02643316,plumed_scorpionfish
n02643316,Scorpaena_grandicornis
n02640242,sturgeon
n02587051,red_snapper
n02587051,Lutjanus_blackfordi
n02584145,cardinal_tetra
n02584145,Paracheirodon_axelrodi
n02626265,cero
n02626265,pintado
n02626265,kingfish
n02626265,Scomberomorus_regalis
n01451863,anomalops
n01451863,flashlight_fish
n02603862,sweeper
n02611294,barbu
n02611294,Polydactylus_virginicus
n02578233,moonfish
n02578233,Atlantic_moonfish
n02578233,horsefish
n02578233,horsehead
n02578233,horse-head
n02578233,dollarfish
n02578233,Selene_setapinnis
n02593453,scup
n02593453,northern_porgy
n02593453,northern_scup
n02593453,Stenotomus_chrysops
n02617207,eelpout
n02617207,pout
n02612167,sand_stargazer
n02527622,conger
n02527622,conger_eel
n02598573,white_croaker
n02598573,chenfish
n02598573,kingfish
n02598573,Genyonemus_lineatus
n02622547,escolar
n02622547,Lepidocybium_flavobrunneum
n02540983,sparling
n02540983,European_smelt
n02540983,Osmerus_eperlanus
n02541687,tarpon
n02541687,Tarpon_atlanticus
n02635781,skillet_fish
n02635781,skilletfish
n02635781,Gobiesox_strumosus
n01440242,mirror_carp
n02536165,sockeye
n02536165,sockeye_salmon
n02536165,red_salmon
n02536165,blueback_salmon
n02536165,Oncorhynchus_nerka
n01487506,sand_tiger
n01487506,sand_shark
n01487506,Carcharias_taurus
n01487506,Odontaspis_taurus
n02526818,common_eel
n02526818,freshwater_eel
n02527057,tuna
n02527057,Anguilla_sucklandii
n01502101,barndoor_skate
n01502101,Raja_laevis
n02598134,corbina
n02598134,Menticirrhus_undulatus
n02646667,lumpfish
n02646667,Cyclopterus_lumpus
n02605936,angelfish
n02536685,chum_salmon
n02536685,chum
n02536685,Oncorhynchus_keta
n02532918,brisling
n02532918,sprat
n02532918,Clupea_sprattus
n02542958,argentine
n02650541,sea_robin
n02650541,searobin
n02624807,Spanish_mackerel
n02624807,Scomber_colias
n01453742,boarfish
n02567633,rock_sea_bass
n02567633,rock_bass
n02567633,Centropristis_philadelphica
n02564403,rock_bass
n02564403,rock_sunfish
n02564403,Ambloplites_rupestris
n02537085,trout
n02641379,gar
n02641379,garfish
n02641379,garpike
n02641379,billfish
n02641379,Lepisosteus_osseus
n02559144,brotula
n02538010,lake_trout
n02538010,salmon_trout
n02538010,Salvelinus_namaycush
n02642644,scorpaenid
n02642644,scorpaenid_fish
n01456137,dwarf_pipefish
n01456137,Syngnathus_hildebrandi
n02606751,beaugregory
n02606751,Pomacentrus_leucostictus
n01484447,longfin_mako
n01484447,Isurus_paucus
n02572484,flame_fish
n02572484,flamefish
n02572484,Apogon_maculatus
n02615642,prickleback
n01454545,cornetfish
n02525120,ling
n02525120,Molva_molva
n02533209,pilchard
n02533209,sardine
n02533209,Sardina_pilchardus
n02589316,sailor's-choice
n02589316,sailors_choice
n02589316,Haemulon_parra
n02515214,crossopterygian
n02515214,lobefin
n02515214,lobe-finned_fish
n02586543,snapper
n02608860,slippery_dick
n02608860,Halicoeres_bivittatus
n02572196,cardinalfish
n01442450,roach
n01442450,Rutilus_rutilus
n02521129,crucifix_fish
n02644501,vermillion_rockfish
n02644501,rasher
n02644501,Sebastodes_miniatus
n02612657,blennioid_fish
n02612657,blennioid
n02658811,European_flatfish
n02658811,Platichthys_flesus
n02625612,Spanish_mackerel
n02558860,cusk-eel
n01498699,butterfly_ray
n01447946,flagfish
n01447946,American_flagfish
n01447946,Jordanella_floridae
n02530421,shad
n02637475,silver_jenny
n02637475,Eucinostomus_gula
n02580830,horse_mackerel
n02580830,saurel
n02580830,Trachurus_trachurus
n02601767,striped_mullet
n02601767,Mugil_cephalus
n01451295,Holocentrus_ascensionis
n02627835,bonito
n02579928,permit
n02579928,Trachinotus_falcatus
n02535080,parr
n02518622,electric_catfish
n02518622,Malopterurus_electricus
n01490112,whitetip_shark
n01490112,oceanic_whitetip_shark
n01490112,white-tipped_shark
n01490112,Carcharinus_longimanus
n02659176,yellowtail_flounder
n02659176,Limanda_ferruginea
n01483522,mackerel_shark
n01488385,cat_shark
n01492569,smoothhound
n01492569,smoothhound_shark
n01492569,Mustelus_mustelus
n02604480,Bermuda_chub
n02604480,rudderfish
n02604480,Kyphosus_sectatrix
n02613820,Molly_Miller
n02613820,Scartella_cristata
n02570484,soapfish
n02558206,snail_darter
n02558206,Percina_tanasi
n02605703,chaetodon
n01452345,flashlight_fish
n01452345,Photoblepharon_palpebratus
n02540412,smelt
n01484097,mako
n01484097,mako_shark
n02588794,margate
n02588794,Haemulon_album
n02557318,European_perch
n02557318,Perca_fluviatilis
n02617819,fish_doctor
n02617819,Gymnelis_viridis
n02662559,sand_dab
n02538216,brook_trout
n02538216,speckled_trout
n02538216,Salvelinus_fontinalis
n02514825,bony_fish
n01482330,shark
n02532786,sild
n02628259,Chile_bonito
n02628259,Chilean_bonito
n02628259,Pacific_bonito
n02628259,Sarda_chiliensis
n02555863,perch
n02631775,white_marlin
n02631775,Makaira_albida
n02658079,righteye_flounder
n02658079,righteyed_flounder
n02534559,salmonid
n01499396,spotted_eagle_ray
n01499396,spotted_ray
n01499396,Aetobatus_narinari
n02596067,mulloway
n02596067,jewfish
n02596067,Sciaena_antarctica
n02632039,spearfish
n02527271,moray
n02527271,moray_eel
n02550780,biplane_flying_fish
n02550780,four-wing_flying_fish
n02512938,food_fish
n02531114,alewife
n02531114,Alosa_pseudoharengus
n02531114,Pomolobus_pseudoharengus
n02570164,jewfish
n02570164,Mycteroperca_bonaci
n02561661,pickerel
n02601344,mullet
n02601344,grey_mullet
n02601344,gray_mullet
n02605316,butterfly_fish
n02563648,pumpkinseed
n02563648,Lepomis_gibbosus
n02582220,Coryphaena_hippurus
n01446589,cyprinodont
n02516188,lungfish
n01482071,elasmobranch
n01482071,selachian
n02626762,tuna
n02626762,tunny
n01439514,carp
n02513560,young_fish
n02617537,viviparous_eelpout
n02617537,Zoarces_viviparus
n02576906,crevalle_jack
n02576906,jack_crevalle
n02576906,Caranx_hippos
n02648625,greenling
n02629716,swordfish
n02629716,Xiphias_gladius
n02593191,black_bream
n02593191,Chrysophrys_australis
n01494882,smalleye_hammerhead
n01494882,Sphyrna_tudes
n01483021,cow_shark
n01483021,six-gilled_shark
n01483021,Hexanchus_griseus
n02640857,beluga
n02640857,hausen
n02640857,white_sturgeon
n02640857,Acipenser_huso
n02621258,surgeonfish
n02546028,New_World_opah
n02546028,Lampris_guttatus
n02532602,sardine
n02577662,leatherjacket
n02577662,leatherjack
n02543952,greeneye
n01440764,tench
n01440764,Tinca_tinca
n02514041,barracouta
n02514041,snoek
n01486010,thresher
n01486010,thrasher
n01486010,thresher_shark
n01486010,fox_shark
n01486010,Alopius_vulpinus
n02549248,frogfish
n01497118,sawfish
n01491661,soupfin_shark
n01491661,soupfin
n01491661,soup-fin
n01491661,Galeorhinus_zyopterus
n01501948,thorny_skate
n01501948,Raja_radiata
n01495006,shovelhead
n01495006,bonnethead
n01495006,bonnet_shark
n01495006,Sphyrna_tiburo
n02665250,hogchoker
n02665250,Trinectes_maculatus
n02606384,damselfish
n02606384,demoiselle
n02535258,redfish
n02562796,crappie
n02626089,Scomberomorus_maculatus
n01455778,pipefish
n01455778,needlefish
n02651617,armored_searobin
n02651617,armored_sea_robin
n02651617,Peristedion_miniatum
n02654112,leatherjacket
n02654112,leatherfish
n02629230,bonito
n02629230,oceanic_bonito
n02629230,Katsuwonus_pelamis
n02547733,batfish
n02614140,clinid
n02614140,clinid_fish
n02656969,sharptail_mola
n02656969,Mola_lanceolata
n02640626,Pacific_sturgeon
n02640626,white_sturgeon
n02640626,Sacramento_sturgeon
n02640626,Acipenser_transmontanus
n02602059,liza
n02602059,Mugil_liza
n02644665,red_rockfish
n02644665,Sebastodes_ruberrimus
n02520147,flathead_catfish
n02520147,mudcat
n02520147,goujon
n02520147,shovelnose_catfish
n02520147,spoonbill_catfish
n02520147,Pylodictus_olivaris
n01442166,golden_shiner
n01442166,Notemigonus_crysoleucas
n01444783,catostomid
n02655848,porcupinefish
n02655848,porcupine_fish
n02655848,Diodon_hystrix
n02568447,stone_bass
n02568447,wreckfish
n02568447,Polyprion_americanus
n02611898,stargazer
n02584449,piranha
n02584449,pirana
n02584449,caribe
n01448594,guppy
n01448594,rainbow_fish
n01448594,Lebistes_reticulatus
n02583096,blanquillo
n02583096,tilefish
n02608547,hogfish
n02608547,hog_snapper
n02608547,Lachnolaimus_maximus
n02636405,Atlantic_tripletail
n02636405,Lobotes_surinamensis
n02519148,bullhead
n02519148,bullhead_catfish
n02638596,ganoid
n02638596,ganoid_fish
n02561937,redfin_pickerel
n02561937,barred_pickerel
n02561937,Esox_americanus
n02660640,Pacific_halibut
n02660640,Hippoglossus_stenolepsis
n01443537,goldfish
n01443537,Carassius_auratus
n01443736,silverfish
n01455461,ten-spined_stickleback
n01455461,Gasterosteus_pungitius
n02521646,gadoid
n02521646,gadoid_fish
n02661473,southern_flounder
n02661473,Paralichthys_lethostigmus
n02639922,Chinese_paddlefish
n02639922,Psephurus_gladis
n02637179,yellowfin_mojarra
n02637179,Gerres_cinereus
n02645538,bullhead
n02561514,muskellunge
n02561514,Esox_masquinongy
n02616851,wolffish
n02616851,wolf_fish
n02616851,catfish
n02523617,scrod
n02523617,schrod
n02568959,grouper
n02663211,turbot
n02663211,Psetta_maxima
n02538562,Arctic_char
n02538562,Salvelinus_alpinus
n02580188,pilotfish
n02580188,Naucrates_ductor
n02571167,rainbow_seaperch
n02571167,rainbow_perch
n02571167,Hipsurus_caryi
n02513727,parr
n02565324,largemouth
n02565324,largemouth_bass
n02565324,largemouthed_bass
n02565324,largemouth_black_bass
n02565324,largemouthed_black_bass
n02565324,Micropterus_salmoides
n02653497,queen_triggerfish
n02653497,Bessy_cerca
n02653497,oldwench
n02653497,oldwife
n02653497,Balistes_vetula
n01440160,leather_carp
n01492708,American_smooth_dogfish
n01492708,Mustelus_canis
n02664285,European_sole
n02664285,Solea_solea
n02566109,serranid_fish
n02566109,serranid
n02573704,bluefish
n02573704,Pomatomus_saltatrix
n02512752,fingerling
n02576575,jack
n01441272,chub
n01441272,Leuciscus_cephalus
n02633977,harvestfish
n02633977,Paprilus_alepidotus
n02574271,cobia
n02574271,Rachycentron_canadum
n02574271,sergeant_fish
n02643836,stonefish
n02643836,Synanceja_verrucosa
n02530637,common_American_shad
n02530637,Alosa_sapidissima
n02582721,pomfret
n02582721,Brama_raii
n01480880,holocephalan
n01480880,holocephalian
n01440467,European_bream
n01440467,Abramis_brama
n02590702,sea_bream
n02590702,bream
n02599052,sea_trout
n02564720,black_bass
n01455317,three-spined_stickleback
n01455317,Gasterosteus_aculeatus
n02648916,kelp_greenling
n02648916,Hexagrammos_decagrammus
n01489920,blacktip_shark
n01489920,sandbar_shark
n01489920,Carcharhinus_limbatus
n02624551,common_mackerel
n02624551,shiner
n02624551,Scomber_scombrus
n02532272,Atlantic_herring
n02532272,Clupea_harengus_harengus
n02645304,sculpin
n02591330,red_porgy
n02591330,Pagrus_pagrus
n02590495,sparid
n02590495,sparid_fish
n02659808,lemon_sole
n02659808,Microstomus_kitt
n02550460,flying_fish
n02652132,flying_gurnard
n02652132,flying_robin
n02652132,butterflyfish
n02597972,northern_whiting
n02597972,Menticirrhus_saxatilis
n02657694,flounder
n02644817,rosefish
n02644817,ocean_perch
n02644817,Sebastodes_marinus
n02600298,goatfish
n02600298,red_mullet
n02600298,surmullet
n02600298,Mullus_surmuletus
n02634285,driftfish
n02628600,skipjack
n02628600,skipjack_tuna
n02628600,Euthynnus_pelamis
n02530831,river_shad
n02530831,Alosa_chrysocloris
n01481331,chimaera
n02632989,butterfish
n02632989,stromateid_fish
n02632989,stromateid
n02536864,coho
n02536864,cohoe
n02536864,coho_salmon
n02536864,blue_jack
n02536864,silver_salmon
n02536864,Oncorhynchus_kisutch
n02616128,eelblenny
n01484562,bonito_shark
n01484562,blue_pointed
n01484562,Isurus_glaucus
n01443831,crucian_carp
n01443831,Carassius_carassius
n01443831,Carassius_vulgaris
n02577164,runner
n02577164,blue_runner
n02577164,Caranx_crysos
n02583890,tetra
n01438581,loach
n01441117,dace
n01441117,Leuciscus_leuciscus
n02523427,burbot
n02523427,eelpout
n02523427,ling
n02523427,cusk
n02523427,Lota_lota
n02591613,European_sea_bream
n02591613,Pagellus_centrodontus
n02542432,bonefish
n02542432,Albula_vulpes
n02643566,lionfish
n02599347,weakfish
n02599347,Cynoscion_regalis
n02534734,salmon
n01316838,bottom_lurkers
n02595056,jackknife-fish
n02595056,Equetus_lanceolatus
n01489501,bull_shark
n01489501,cub_shark
n01489501,Carcharhinus_leucas
n02523110,whiting
n02523110,Merlangus_merlangus
n02523110,Gadus_merlangus
n02568087,striped_bass
n02568087,striper
n02568087,Roccus_saxatilis
n02568087,rockfish
n02563949,spotted_sunfish
n02563949,stumpknocker
n02563949,Lepomis_punctatus
n02610664,parrotfish
n02610664,polly_fish
n02610664,pollyfish
n02649546,flathead
n02620167,flathead
n01491006,blue_shark
n01491006,great_blue_shark
n01491006,Prionace_glauca
n01456756,seahorse
n01456756,sea_horse
n01457082,snipefish
n01457082,bellows_fish
n02622955,cutlassfish
n02622955,frost_fish
n02622955,hairtail
n02562315,sunfish
n02562315,centrarchid
n01451115,deepwater_squirrelfish
n01451115,Holocentrus_bullisi
n02580336,scad
n02579091,rudderfish
n02579091,banded_rudderfish
