n01563449,gnatcatcher
n01840775,redheaded_woodpecker
n01840775,redhead
n01840775,Melanerpes_erythrocephalus
n01524359,passerine
n01524359,passeriform_bird
n01567678,parula_warbler
n01567678,northern_parula
n01567678,Parula_americana
n02038141,northern_phalarope
n02038141,Lobipes_lobatus
n01559804,wood_thrush
n01559804,Hylocichla_mustelina
n01841943,piculet
n01843383,toucan
n02011281,boatbill
n02011281,boat-billed_heron
n02011281,broadbill
n02011281,Cochlearius_cochlearius
n01830915,motmot
n01830915,momot
n02018027,coot
n02059162,petrel
n02043063,tern
n01603812,cedar_waxwing
n01603812,cedarbird
n01603812,Bombycilla_cedrorun
n01835276,goatsucker
n01835276,nightjar
n01835276,caprimulgid
n01820801,varied_Lorikeet
n01820801,Glossopsitta_versicolor
n01814549,squab
n02059541,white-chinned_petrel
n02059541,Procellaria_aequinoctialis
n01571410,riflebird
n01571410,Ptloris_paradisea
n02011943,European_bittern
n02011943,Botaurus_stellaris
n01588996,rifleman_bird
n01588996,Acanthisitta_chloris
n01577035,common_starling
n01577035,Sturnus_vulgaris
n01540233,grosbeak
n01540233,grossbeak
n01794158,turkey
n01794158,Meleagris_gallopavo
n01794344,turkey_cock
n01794344,gobbler
n01794344,tom
n01794344,tom_turkey
n02057035,jackass_penguin
n02057035,Spheniscus_demersus
n01850192,bufflehead
n01850192,butterball
n01850192,dipper
n01850192,Bucephela_albeola
n01826364,roller
n01555305,scissortail
n01555305,scissortailed_flycatcher
n01555305,Muscivora-forficata
n01599269,northern_shrike
n01599269,Lanius_borealis
n01791954,bantam
n01792955,brood_hen
n01792955,broody
n01792955,broody_hen
n01792955,setting_hen
n01792955,sitter
n02032769,jacksnipe
n02032769,half_snipe
n02032769,Limnocryptes_minima
n01816017,painted_sandgrouse
n01816017,Pterocles_indicus
n02011805,American_bittern
n02011805,stake_driver
n02011805,Botaurus_lentiginosus
n01532325,New_World_goldfinch
n01532325,goldfinch
n01532325,yellowbird
n01532325,Spinus_tristis
n01585121,marsh_wren
n01800633,Texas_chachalaca
n01800633,Ortilis_vetula_macalli
n01842504,puffbird
n01515217,night_raven
n01518878,ostrich
n01518878,Struthio_camelus
n02014237,crested_cariama
n02014237,seriema
n02014237,Cariama_cristata
n02011460,bittern
n01795088,grouse
n02002075,stork
n01599388,white-rumped_shrike
n01599388,Lanius_ludovicianus_excubitorides
n01854700,goosander
n01854700,Mergus_merganser
n02056728,emperor_penguin
n02056728,Aptenodytes_forsteri
n01791388,jungle_hen
n01595624,martin
n02046759,guillemot
n01543936,avadavat
n01543936,amadavat
n02031934,snipe
n01848123,teal
n01594787,barn_swallow
n01594787,chimney_swallow
n01594787,Hirundo_rustica
n01806364,blue_peafowl
n01806364,Pavo_cristatus
n02031585,American_woodcock
n02031585,woodcock_snipe
n02031585,Philohela_minor
n01848323,greenwing
n01848323,green-winged_teal
n01848323,Anas_crecca
n01548492,Arkansas_kingbird
n01548492,western_kingbird
n02004131,saddlebill
n02004131,jabiru
n02004131,Ephippiorhynchus_senegalensis
n01536334,tree_sparrow
n01536334,Spizella_arborea
n01852671,muscovy_duck
n01852671,musk_duck
n01852671,Cairina_moschata
n01583828,piping_crow
n01583828,piping_crow-shrike
n01583828,Gymnorhina_tibicen
n02016066,spotted_crake
n02016066,Porzana_porzana
n01602209,American_water_ouzel
n01602209,Cinclus_mexicanus
n01852329,wood_drake
n01841441,red-breasted_sapsucker
n01841441,Sphyrapicus_varius_ruber
n01532511,pine_siskin
n01532511,pine_finch
n01532511,Spinus_pinus
n02019929,button_quail
n02019929,button-quail
n02019929,bustard_quail
n02019929,hemipode
n01839750,yellow-shafted_flicker
n01839750,Colaptes_auratus
n01839750,yellowhammer
n02056228,Adelie
n02056228,Adelie_penguin
n02056228,Pygoscelis_adeliae
n01615303,Kamchatkan_sea_eagle
n01615303,Stellar's_sea_eagle
n01615303,Haliaeetus_pelagicus
n01842235,barbet
n01832167,swift
n01544704,honeycreeper
n01544704,Hawaiian_honeycreeper
n02045864,razorbill
n02045864,razor-billed_auk
n02045864,Alca_torda
n01609062,swallow-tailed_kite
n01609062,swallow-tailed_hawk
n01609062,Elanoides_forficatus
n01794651,ocellated_turkey
n01794651,Agriocharis_ocellata
n01621127,owl
n01621127,bird_of_Minerva
n01621127,bird_of_night
n01621127,hooter
n02053584,booby
n01591697,titmouse
n01591697,tit
n01553527,ant_thrush
n01847089,quack-quack
n01857632,honker
n01857632,Canada_goose
n01857632,Canadian_goose
n01857632,Branta_canadensis
n01588725,rock_wren
n01588725,Xenicus_gilviventris
n01558594,blackbird
n01558594,merl
n01558594,merle
n01558594,ouzel
n01558594,ousel
n01558594,European_blackbird
n01558594,Turdus_merula
n02045596,auklet
n01829869,hoopoe
n01829869,hoopoo
n02003204,marabou
n02003204,marabout
n02003204,marabou_stork
n02003204,Leptoptilus_crumeniferus
n02025043,turnstone
n01834177,Archilochus_colubris
n01555004,pitta
n01604330,bird_of_prey
n01604330,raptor
n01604330,raptorial_bird
n01816140,pin-tailed_sandgrouse
n01816140,pin-tailed_grouse
n01816140,Pterocles_alchata
n01574390,grackle
n01574390,crow_blackbird
n01589893,European_creeper
n01589893,Certhia_familiaris
n01827793,Eurasian_kingfisher
n01827793,Alcedo_atthis
n01830042,Euopean_hoopoe
n01830042,Upupa_epops
n01803641,afropavo
n01803641,Congo_peafowl
n01803641,Afropavo_congensis
n02030224,reeve
n01593028,bushtit
n01593028,bush_tit
n01523248,giant_moa
n01523248,Dinornis_giganteus
n02032355,Wilson's_snipe
n02032355,Gallinago_gallinago_delicata
n01534155,bullfinch
n01534155,Pyrrhula_pyrrhula
n01791625,chicken
n01791625,Gallus_gallus
n01858906,cygnet
n02055803,penguin
n01560419,bulbul
n01569262,Audubon's_warbler
n01569262,Audubon_warbler
n01569262,Dendroica_auduboni
n02019438,plain_turkey
n02019438,Choriotis_australis
n01809752,hoatzin
n01809752,hoactzin
n01809752,stinkbird
n01809752,Opisthocomus_hoazin
n01810700,columbiform_bird
n01790398,Cornish
n01790398,Cornish_fowl
n01800424,chachalaca
n02018207,American_coot
n02018207,marsh_hen
n02018207,mud_hen
n02018207,water_hen
n02018207,Fulica_americana
n01587278,blue_mockingbird
n01587278,Melanotis_caerulescens
n01832493,European_swift
n01832493,Apus_apus
n01572782,orchard_oriole
n01572782,Icterus_spurius
n02036228,banded_stilt
n02036228,Cladorhyncus_leucocephalum
n01614690,ringtail
n01818515,macaw
n02018368,Old_World_coot
n02018368,Fulica_atra
n01855188,smew
n01855188,Mergus_albellus
n01823013,cuckoo
n01860002,trumpeter
n01860002,trumpeter_swan
n01860002,Cygnus_buccinator
n01790557,Rock_Cornish
n02010272,cattle_egret
n02010272,Bubulcus_ibis
n01536780,swamp_sparrow
n01536780,Melospiza_georgiana
n01812866,band-tailed_pigeon
n01812866,band-tail_pigeon
n01812866,bandtail
n01812866,Columba_fasciata
n01814921,homing_pigeon
n01814921,homer
n02048115,horned_puffin
n02048115,Fratercula_corniculata
n01624537,hawk_owl
n01624537,Surnia_ulula
n01798979,heath_hen
n01798979,Tympanuchus_cupido_cupido
n01531639,red_siskin
n01531639,Carduelis_cucullata
n01856072,gosling
n01616551,Aegypiidae
n01616551,family_Aegypiidae
n02010728,black-crowned_night_heron
n02010728,Nycticorax_nycticorax
n01581984,Clark's_nutcracker
n01581984,Nucifraga_columbiana
n01536186,field_sparrow
n01536186,Spizella_pusilla
n01574801,rusty_blackbird
n01574801,rusty_grackle
n01574801,Euphagus_carilonus
n01852861,sea_duck
n01823740,black-billed_cuckoo
n01823740,Coccyzus_erythropthalmus
n01582498,American_magpie
n01582498,Pica_pica_hudsonia
n01556514,thickhead
n01556514,whistler
n01589718,brown_creeper
n01589718,American_creeper
n01589718,Certhia_americana
n01623706,scops_owl
n02014941,rail
n02060411,shearwater
n01582398,European_magpie
n01582398,Pica_pica
n01550761,cotinga
n01550761,chatterer
n01527194,accentor
n01589286,creeper
n01589286,tree_creeper
n01606097,eyas
n01618503,secretary_bird
n01618503,Sagittarius_serpentarius
n01858281,coscoroba
n01624833,long-eared_owl
n01624833,Asio_otus
n01519563,cassowary
n01607962,buzzard
n01607962,Buteo_buteo
n02026948,European_sandpiper
n02026948,Actitis_hypoleucos
n01792640,hen
n01792640,biddy
n02046939,black_guillemot
n02046939,Cepphus_grylle
n01615121,sea_eagle
n01553762,ant_shrike
n02057731,pelagic_bird
n02057731,oceanic_bird
n01824344,ani
n02044517,parasitic_jaeger
n02044517,arctic_skua
n02044517,Stercorarius_parasiticus
n01619835,Andean_condor
n01619835,Vultur_gryphus
n01538059,reed_bunting
n01538059,Emberiza_schoeniclus
n01568294,American_redstart
n01568294,redstart
n01568294,Setophaga_ruticilla
n02050442,red-necked_grebe
n02050442,Podiceps_grisegena
n01844231,trogon
n02053083,gannet
n01820052,lovebird
n01853498,scoter
n01853498,scooter
n02024763,lapwing
n02024763,green_plover
n02024763,peewit
n02024763,pewit
n01619536,condor
n01515583,protoavis
n01847978,black_duck
n01847978,Anas_rubripes
n02020578,plain_wanderer
n02020578,Pedionomus_torquatus
n02007284,roseate_spoonbill
n02007284,Ajaia_ajaja
n01792530,capon
n02004855,wood_ibis
n02004855,wood_stork
n02004855,flinthead
n02004855,Mycteria_americana
n02051059,pied-billed_grebe
n02051059,Podilymbus_podiceps
n01538362,yellow-breasted_bunting
n01538362,Emberiza_aureola
n01790171,Dorking
n02006063,wood_ibis
n02006063,wood_stork
n02006063,Ibis_ibis
n01543632,Java_sparrow
n01543632,Java_finch
n01543632,ricebird
n01543632,Padda_oryzivora
n02060569,Manx_shearwater
n02060569,Puffinus_puffinus
n01796019,blackcock
n01796019,black_cock
n01615703,fishing_eagle
n01615703,Haliaeetus_leucorhyphus
n01503061,bird
n01583495,currawong
n01583495,bell_magpie
n01808291,Greek_partridge
n01808291,rock_partridge
n01808291,Alectoris_graeca
n01793565,Dominique
n01793565,Dominick
n01838038,piciform_bird
n01536035,chipping_sparrow
n01536035,Spizella_passerina
n01572654,Bullock's_oriole
n01572654,Icterus_galbula_bullockii
n01554017,spotted_antbird
n01554017,Hylophylax_naevioides
n01601410,great_bowerbird
n01601410,Chlamydera_nuchalis
n01615458,ern
n01615458,erne
n01615458,grey_sea_eagle
n01615458,gray_sea_eagle
n01615458,European_sea_eagle
n01615458,white-tailed_sea_eagle
n01615458,Haliatus_albicilla
n01803362,ring-necked_pheasant
n01803362,Phasianus_colchicus
n01801672,mallee_hen
n01538955,honeycreeper
n02053425,solan
n02053425,solan_goose
n02053425,solant_goose
n02053425,Sula_bassana
n01824862,pheasant_coucal
n01824862,pheasant_cuckoo
n01824862,Centropus_phasianinus
n01837072,frogmouth
n01622959,tawny_owl
n01622959,Strix_aluco
n01623110,barred_owl
n01623110,Strix_varia
n01847253,diving_duck
n02050313,great_crested_grebe
n02050313,Podiceps_cristatus
n01524761,nonpasserine_bird
n02013706,limpkin
n02013706,Aramus_pictus
n01809371,guinea_hen
n01834918,caprimulgiform_bird
n01562265,robin
n01562265,redbreast
n01562265,robin_redbreast
n01562265,Old_World_robin
n01562265,Erithacus_rubecola
n01806467,green_peafowl
n01806467,Pavo_muticus
n01575745,Old_World_oriole
n01575745,oriole
n01613294,eagle
n01613294,bird_of_Jove
n01847000,drake
n01616764,Old_World_vulture
n01592387,tufted_titmouse
n01592387,Parus_bicolor
n02037869,red_phalarope
n02037869,Phalaropus_fulicarius
n01851038,pochard
n01851038,Aythya_ferina
n02026059,sandpiper
n01602832,red-eyed_vireo
n01602832,Vireo_olivaceous
n01539272,banana_quit
n01791107,jungle_fowl
n01791107,gallina
n02055658,sphenisciform_seabird
n01559160,clay-colored_robin
n01559160,Turdus_greyi
n01560935,whinchat
n01560935,Saxicola_rubetra
n01607309,buteonine
n01567133,New_World_warbler
n01567133,wood_warbler
n01618922,New_World_vulture
n01618922,cathartid
n02048353,tufted_puffin
n02048353,Lunda_cirrhata
n01592084,chickadee
n02007558,flamingo
n02042759,kittiwake
n02017213,European_gallinule
n02017213,Porphyrio_porphyrio
n01586374,cactus_wren
n01526521,songbird
n01526521,songster
n01600085,bush_shrike
n01617443,bearded_vulture
n01617443,lammergeier
n01617443,lammergeyer
n01617443,Gypaetus_barbatus
n02035656,kaki
n02035656,Himantopus_novae-zelandiae
n01859852,Bewick's_swan
n01859852,Cygnus_columbianus_bewickii
n01838598,woodpecker
n01838598,peckerwood
n01838598,pecker
n01610552,harrier_eagle
n01610552,short-toed_eagle
n01616086,osprey
n01616086,fish_hawk
n01616086,fish_eagle
n01616086,sea_eagle
n01616086,Pandion_haliaetus
n01538200,yellowhammer
n01538200,yellow_bunting
n01538200,Emberiza_citrinella
n02009508,little_egret
n02009508,Egretta_garzetta
n01597906,western_tanager
n01597906,Piranga_ludoviciana
n01584853,house_wren
n01584853,Troglodytes_aedon
n01596608,purple_martin
n01596608,Progne_subis
n01594372,swallow
n02059852,giant_petrel
n02059852,giant_fulmar
n02059852,Macronectes_giganteus
n02039171,courser
n01569836,New_World_chat
n01569836,chat
n01805070,migratory_quail
n01805070,Coturnix_coturnix
n01805070,Coturnix_communis
n01821076,rainbow_lorikeet
n01821076,Trichoglossus_moluccanus
n01590583,nuthatch
n01590583,nutcracker
n01558307,fieldfare
n01558307,snowbird
n01558307,Turdus_pilaris
n01606978,chicken_hawk
n01606978,hen_hawk
n01811542,solitaire
n01811542,Pezophaps_solitaria
n01603600,waxwing
n01812187,pouter_pigeon
n01812187,pouter
n01839330,downy_woodpecker
n02061853,diving_petrel
n01558461,redwing
n01558461,Turdus_iliacus
n01847407,dabbling_duck
n01847407,dabbler
n01569060,Blackburn
n01569060,Blackburnian_warbler
n01569060,Dendroica_fusca
n01813532,Streptopelia_turtur
n02009380,snowy_egret
n02009380,snowy_heron
n02009380,Egretta_thula
n01623425,screech_owl
n01623425,Otus_asio
n01611472,peregrine
n01611472,peregrine_falcon
n01611472,Falco_peregrinus
n01554448,woodhewer
n01554448,woodcreeper
n01554448,wood-creeper
n01554448,tree_creeper
n01793159,layer
n01793249,pullet
n01605630,hawk
n02036711,avocet
n02050809,dabchick
n02050809,little_grebe
n02050809,Podiceps_ruficollis
n01816474,pallas's_sandgrouse
n01816474,Syrrhaptes_paradoxus
n01815270,passenger_pigeon
n01815270,Ectopistes_migratorius
n01575401,red-winged_blackbird
n01575401,redwing
n01575401,Agelaius_phoeniceus
n01592694,blue_tit
n01592694,tomtit
n01592694,Parus_caeruleus
n01546921,tyrannid
n01825930,coraciiform_bird
n01557185,thrush
n01828970,bee_eater
n01858441,swan
n01612628,caracara
n02034971,black-necked_stilt
n02034971,Himantopus_mexicanus
n01552813,ovenbird
n01622120,little_owl
n01622120,Athene_noctua
n01597737,scarlet_tanager
n01597737,Piranga_olivacea
n01597737,redbird
n01597737,firebird
n01580077,jay
n01622352,horned_owl
n01807828,Hungarian_partridge
n01807828,grey_partridge
n01807828,gray_partridge
n01807828,Perdix_perdix
n01585422,sedge_wren
n01585422,short-billed_marsh_wren
n01585422,Cistothorus_platensis
n01856553,greylag
n01856553,graylag
n01856553,greylag_goose
n01856553,graylag_goose
n01856553,Anser_anser
n01544389,zebra_finch
n01544389,Poephila_castanotis
n01579028,crow
n01549430,pewee
n01549430,peewee
n01549430,peewit
n01549430,pewit
n01549430,wood_pewee
n01549430,Contopus_virens
n01853195,eider
n01853195,eider_duck
n01576358,fig-bird
n02021281,Brazilian_trumpeter
n02021281,Psophia_crepitans
n01801876,brush_turkey
n01801876,Alectura_lathami
n01849863,ruddy_duck
n01849863,Oxyura_jamaicensis
n01587834,thrasher
n01587834,mocking_thrush
n02027357,least_sandpiper
n02027357,stint
n02027357,Erolia_minutilla
n02052365,Old_world_white_pelican
n02052365,Pelecanus_onocrotalus
n01541760,pyrrhuloxia
n01541760,Pyrrhuloxia_sinuata
n01625121,laughing_owl
n01625121,laughing_jackass
n01625121,Sceloglaux_albifacies
n02028900,knot
n02028900,greyback
n02028900,grayback
n02028900,Calidris_canutus
n01545574,lyrebird
n01856890,blue_goose
n01856890,Chen_caerulescens
n01817346,poll
n01817346,poll_parrot
n02033779,European_curlew
n02033779,Numenius_arquata
n01859325,whooper
n01859325,whooper_swan
n01859325,Cygnus_cygnus
n01527347,hedge_sparrow
n01527347,sparrow
n01527347,dunnock
n01527347,Prunella_modularis
n02049532,podicipitiform_seabird
n01848840,American_widgeon
n01848840,baldpate
n01848840,Anas_americana
n02040266,stone_curlew
n02040266,thick-knee
n02040266,Burhinus_oedicnemus
n01579729,chough
n01810268,tinamou
n01810268,partridge
n01790304,Plymouth_Rock
n02039780,crocodile_bird
n02039780,Pluvianus_aegyptius
n01579149,American_crow
n01579149,Corvus_brachyrhyncos
n01551300,cock_of_the_rock
n01551300,Rupicola_peruviana
n01801088,megapode
n01801088,mound_bird
n01801088,mound-bird
n01801088,mound_builder
n01801088,scrub_fowl
n01565599,sedge_warbler
n01565599,sedge_bird
n01565599,sedge_wren
n01565599,reedbird
n01565599,Acrocephalus_schoenobaenus
n01807105,tragopan
n01543175,baya
n01543175,Ploceus_philippinus
n01839598,flicker
n02030837,willet
n02030837,Catoptrophorus_semipalmatus
n01573898,bobolink
n01573898,ricebird
n01573898,reedbird
n01573898,Dolichonyx_oryzivorus
n02031298,Eurasian_woodcock
n02031298,Scolopax_rusticola
n01537895,ortolan
n01537895,ortolan_bunting
n01537895,Emberiza_hortulana
n01591301,white-breasted_nuthatch
n01591301,Sitta_carolinensis
n01568720,Cape_May_warbler
n01568720,Dendroica_tigrina
n01854415,merganser
n01854415,fish_duck
n01854415,sawbill
n01854415,sheldrake
n01547832,New_World_flycatcher
n01547832,flycatcher
n01547832,tyrant_flycatcher
n01547832,tyrant_bird
n01819115,cockatoo
n01516212,archaeopteryx
n01516212,archeopteryx
n01516212,Archaeopteryx_lithographica
n02035210,black-winged_stilt
n02035210,Himantopus_himantopus
n01814217,mourning_dove
n01814217,Zenaidura_macroura
n02047517,thick-billed_murre
n02047517,Uria_lomvia
n02047045,pigeon_guillemot
n02047045,Cepphus_columba
n01822602,cuculiform_bird
n01806143,peacock
n01599556,loggerhead_shrike
n01599556,Lanius_lucovicianus
n01597022,wood_swallow
n01597022,swallow_shrike
n01848976,shoveler
n01848976,shoveller
n01848976,broadbill
n01848976,Anas_clypeata
n02056570,king_penguin
n02056570,Aptenodytes_patagonica
n01571904,New_World_oriole
n01571904,American_oriole
n01571904,oriole
n01611674,falcon-gentle
n01611674,falcon-gentil
n01795545,black_grouse
n01604968,Accipitriformes
n01604968,order_Accipitriformes
n02017725,notornis
n02017725,takahe
n02017725,Notornis_mantelli
n01538630,snow_bunting
n01538630,snowbird
n01538630,snowflake
n01538630,Plectrophenax_nivalis
n02051845,pelican
n01572328,northern_oriole
n01572328,Icterus_galbula
n01860187,black_swan
n01860187,Cygnus_atratus
n01568132,flycatching_warbler
n01515078,night_bird
n01829413,hornbill
n02006985,common_spoonbill
n02006985,Platalea_leucorodia
n01534433,junco
n01534433,snowbird
n01593282,wren-tit
n01593282,Chamaea_fasciata
n01565930,wren_warbler
n01817263,popinjay
n01612275,pigeon_hawk
n01612275,merlin
n01612275,Falco_columbarius
n02047975,Atlantic_puffin
n02047975,Fratercula_arctica
n01809106,guinea_fowl
n01809106,guinea
n01809106,Numida_meleagris
n01560105,nightingale
n01560105,Luscinia_megarhynchos
n01550172,vermillion_flycatcher
n01550172,firebird
n01550172,Pyrocephalus_rubinus_mexicanus
n01789386,gallinaceous_bird
n01789386,gallinacean
n01623615,screech_owl
n02003839,jabiru
n02003839,Jabiru_mycteria
n01797886,ruffed_grouse
n01797886,partridge
n01797886,Bonasa_umbellus
n02049088,loon
n02049088,diver
n02013177,whooping_crane
n02013177,whooper
n02013177,Grus_americana
n02023855,piping_plover
n02023855,Charadrius_melodus
n01843065,jacamar
n01523105,moa
n01517966,carinate
n01517966,carinate_bird
n01517966,flying_bird
n01849676,shelduck
n01836384,nighthawk
n01836384,bullbat
n01836384,mosquito_hawk
n01569566,blackpoll
n01569566,Dendroica_striate
n01541922,towhee
n01826680,European_roller
n01826680,Coracias_garrulus
n02029378,sanderling
n02029378,Crocethia_alba
n01845477,anseriform_bird
n01533339,canary
n01533339,canary_bird
n01791314,jungle_cock
n01851731,lesser_scaup
n01851731,lesser_scaup_duck
n01851731,lake_duck
n01851731,Aythya_affinis
n01850373,goldeneye
n01850373,whistler
n01850373,Bucephela_clangula
n01595450,white-bellied_swallow
n01595450,tree_swallow
n01595450,Iridoprocne_bicolor
n01585715,rock_wren
n01585715,Salpinctes_obsoletus
n01845132,waterfowl
n01845132,water_bird
n01845132,waterbird
n01814620,fairy_swallow
n02041678,mew
n02041678,mew_gull
n02041678,sea_mew
n02041678,Larus_canus
n01853666,common_scoter
n01853666,Melanitta_nigra
n01526766,honey_eater
n01526766,honeysucker
n01599741,migrant_shrike
n01599741,Lanius_ludovicianus_migrans
n01529672,finch
n01539573,sparrow
n01539573,true_sparrow
n01606177,tiercel
n01606177,tercel
n01606177,tercelet
n01793085,mother_hen
n02016956,purple_gallinule
n01581166,Canada_jay
n01581166,grey_jay
n01581166,gray_jay
n01581166,camp_robber
n01581166,whisker_jack
n01581166,Perisoreus_canadensis
n01608265,honey_buzzard
n01608265,Pernis_apivorus
n01858780,cob
n01790711,game_fowl
n01598988,butcherbird
n01542433,green-tailed_towhee
n01542433,Chlorura_chlorura
n02038993,pratincole
n02038993,glareole
n01549053,grey_kingbird
n01549053,gray_kingbird
n01549053,petchary
n01549053,Tyrannus_domenicensis_domenicensis
n01824575,coucal
n01856155,gander
n01595974,house_martin
n01595974,Delichon_urbica
n01844746,resplendent_quetzel
n01844746,resplendent_trogon
n01844746,Pharomacrus_mocino
n01609751,harrier
n02037464,phalarope
n01836673,poorwill
n01836673,Phalaenoptilus_nuttallii
n01563746,kinglet
n01586941,mockingbird
n01586941,mocker
n01586941,Mimus_polyglotktos
n01517389,archaeornis
n01542786,weaver
n01542786,weaverbird
n01542786,weaver_finch
n01595168,tree_swallow
n01595168,tree_martin
n01595168,Hirundo_nigricans
n01851375,scaup
n01851375,scaup_duck
n01851375,bluebill
n01851375,broadbill
n01590220,wall_creeper
n01590220,tichodrome
n01590220,Tichodroma_muriaria
n01583209,butcherbird
n01618082,black_vulture
n01618082,Aegypius_monachus
n01815036,carrier_pigeon
n01853870,old_squaw
n01853870,oldwife
n01853870,Clangula_hyemalis
n02042180,laughing_gull
n02042180,blackcap
n02042180,pewit
n02042180,pewit_gull
n02042180,Larus_ridibundus
n01614925,bald_eagle
n01614925,American_eagle
n01614925,Haliaeetus_leucocephalus
n01621635,owlet
n01801479,mallee_fowl
n01801479,leipoa
n01801479,lowan
n01801479,Leipoa_ocellata
n01855672,goose
n01813088,wood_pigeon
n01813088,ringdove
n01813088,cushat
n01813088,Columba_palumbus
n01576076,golden_oriole
n01576076,Oriolus_oriolus
n01804478,bobwhite
n01804478,bobwhite_quail
n01804478,partridge
n01606522,goshawk
n01606522,Accipiter_gentilis
n01815601,sandgrouse
n01815601,sand_grouse
n01614556,tawny_eagle
n01614556,Aquila_rapax
n01849157,pintail
n01849157,pin-tailed_duck
n01849157,Anas_acuta
n01848555,garganey
n01848555,Anas_querquedula
n01573627,cacique
n01573627,cazique
n01564773,blackcap
n01564773,Silvia_atricapilla
n01551080,cock_of_the_rock
n01551080,Rupicola_rupicola
n01567879,Wilson's_warbler
n01567879,Wilson's_blackcap
n01567879,Wilsonia_pusilla
n02030568,Polynesian_tattler
n02030568,Heteroscelus_incanus
n01796729,moorhen
n01540832,hawfinch
n01540832,Coccothraustes_coccothraustes
n01521756,rhea
n01521756,nandu
n01521756,Pterocnemia_pennata
n02028451,lesser_yellowlegs
n02028451,Tringa_flavipes
n02008796,egret
n02033041,dowitcher
n02023341,plover
n01851895,wild_duck
n01603000,solitary_vireo
n01603000,Vireo_solitarius
n01544208,grassfinch
n01544208,grass_finch
n02006364,sacred_ibis
n02006364,Threskiornis_aethiopica
n01561732,wheatear
n01580772,New_World_jay
n02037110,oystercatcher
n02037110,oyster_catcher
n02026629,surfbird
n02026629,Aphriza_virgata
n01841288,yellow-bellied_sapsucker
n01841288,Sphyrapicus_varius
n01564101,gold-crowned_kinglet
n01564101,Regulus_satrata
n02043808,skimmer
n01548694,Cassin's_kingbird
n01548694,Tyrannus_vociferans
n02028727,pectoral_sandpiper
n02028727,jacksnipe
n02028727,Calidris_melanotos
n01534582,dark-eyed_junco
n01534582,slate-colored_junco
n01534582,Junco_hyemalis
n01804163,golden_pheasant
n01804163,Chrysolophus_pictus
n01860497,screamer
