,className,category
798,slide_rule,3
799,sliding_door,3
800,slot,3
801,snorkel,3
802,snowmobile,3
803,snowplow,3
804,soap_dispenser,3
805,soccer_ball,3
806,sock,3
807,solar_dish,3
808,sombrero,3
809,soup_bowl,3
810,space_bar,3
811,space_heater,3
812,space_shuttle,3
813,spatula,3
814,speedboat,3
815,spider_web,3
816,spindle,3
817,sports_car,3
818,spotlight,3
819,stage,3
820,steam_locomotive,3
821,steel_arch_bridge,3
822,steel_drum,3
823,stethoscope,3
824,stole,3
825,stone_wall,3
826,stopwatch,3
827,stove,3
828,strainer,3
829,streetcar,3
830,stretcher,3
831,studio_couch,3
832,stupa,3
833,submarine,3
834,suit,3
835,sundial,3
836,sunglass,3
837,sunglasses,3
838,sunscreen,3
839,suspension_bridge,3
840,swab,3
841,sweatshirt,3
842,swimming_trunks,3
843,swing,3
844,switch,3
845,syringe,3
846,table_lamp,3
847,tank,3
848,tape_player,3
849,teapot,3
850,teddy,3
851,television,3
852,tennis_ball,3
853,thatch,3
854,theater_curtain,3
855,thimble,3
856,thresher,3
857,throne,3
858,tile_roof,3
859,toaster,3
860,tobacco_shop,3
861,toilet_seat,3
862,torch,3
863,totem_pole,3
864,tow_truck,3
865,toyshop,3
866,tractor,3
867,trailer_truck,3
868,tray,3
869,trench_coat,3
870,tricycle,3
871,trimaran,3
872,tripod,3
873,triumphal_arch,3
874,trolleybus,3
875,trombone,3
876,tub,3
877,turnstile,3
878,typewriter_keyboard,3
879,umbrella,3
880,unicycle,3
881,upright,3
882,vacuum,3
883,vase,3
884,vault,3
885,velvet,3
886,vending_machine,3
887,vestment,3
888,viaduct,3
889,violin,3
890,volleyball,3
891,waffle_iron,3
892,wall_clock,3
893,wallet,3
894,wardrobe,3
895,warplane,3
896,washbasin,3
897,washer,3
898,water_bottle,3
899,water_jug,3
900,water_tower,3
901,whiskey_jug,3
902,whistle,3
903,wig,3
904,window_screen,3
905,window_shade,3
906,Windsor_tie,3
907,wine_bottle,3
908,wing,3
909,wok,3
910,wooden_spoon,3
911,wool,3
912,worm_fence,3
913,wreck,3
914,yawl,3
915,yurt,3
916,web_site,3
917,comic_book,3
918,crossword_puzzle,3
919,street_sign,3
920,traffic_light,3
921,book_jacket,3
922,menu,3
923,plate,3
924,guacamole,3
925,consomme,3
926,hot_pot,3
927,trifle,3
928,ice_cream,3
929,ice_lolly,3
930,French_loaf,3
931,bagel,3
932,pretzel,3
933,cheeseburger,3
934,hotdog,3
935,mashed_potato,4
936,head_cabbage,4
937,broccoli,4
938,cauliflower,4
939,zucchini,4
940,spaghetti_squash,4
941,acorn_squash,4
942,butternut_squash,4
943,cucumber,4
944,artichoke,4
945,bell_pepper,4
946,cardoon,4
947,mushroom,4
948,Granny_Smith,4
949,strawberry,4
950,orange,4
951,lemon,4
952,fig,4
953,pineapple,4
954,banana,4
955,jackfruit,4
956,custard_apple,4
957,pomegranate,4
958,hay,3
959,carbonara,3
960,chocolate_sauce,3
961,dough,3
962,meat_loaf,3
963,pizza,3
964,potpie,3
965,burrito,3
966,red_wine,3
967,espresso,3
968,cup,3
969,eggnog,3
970,alp,0
971,bubble,3
972,cliff,0
973,coral_reef,0
974,geyser,0
975,lakeside,0
976,promontory,0
977,sandbar,4
978,seashore,0
979,valley,0
980,volcano,0
981,ballplayer,0
982,groom,0
983,scuba_diver,0
984,rapeseed,4
985,daisy,4
986,yellow_lady's_slipper,4
987,corn,4
988,acorn,4
989,hip,4
990,buckeye,4
991,coral_fungus,4
992,agaric,4
993,gyromitra,4
994,stinkhorn,4
995,earthstar,4
996,hen-of-the-woods,4
997,bolete,4
998,ear,4
999,toilet_tissue,3
